TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612744,Golden State Warriors,21,16,5,0.762,48.7,38.2,84.2,0.453,11.4,30.5,0.374,15.5,22.1,0.699,11.6,34.0,45.6,24.5,14.6,8.0,5.8,4.7,22.4,20.9,103.3,7.8,1,1,10,1,7,4,9,2,1,1,2,13,10,13,7,8,6,1,15,6,5,2,9,7,5,1,2014-15
1610612745,Houston Rockets,17,9,8,0.529,48.0,37.4,83.4,0.448,9.5,27.5,0.344,24.0,36.7,0.654,10.9,34.8,45.7,21.9,15.5,8.4,5.5,5.4,23.4,27.2,108.2,-2.5,3,3,15,5,12,6,13,6,4,4,7,1,1,16,8,5,5,8,16,5,7,8,10,1,2,9,2014-15
1610612746,Los Angeles Clippers,14,7,7,0.5,48.4,39.5,84.8,0.466,8.4,25.4,0.329,20.4,30.6,0.667,9.6,35.0,44.6,22.5,13.1,8.6,5.9,4.9,24.8,25.1,107.8,1.4,5,5,14,6,11,2,6,1,10,7,9,2,2,15,14,2,8,6,7,3,4,6,12,2,3,5,2014-15
1610612763,Memphis Grizzlies,11,6,5,0.545,48.0,35.7,84.1,0.425,4.4,14.0,0.312,18.9,22.7,0.832,10.5,32.9,43.5,20.4,11.0,8.6,4.1,5.6,19.4,20.4,94.7,-1.3,7,6,10,4,12,11,10,10,16,16,12,6,8,1,10,12,13,11,1,2,13,9,3,10,14,8,2014-15
1610612749,Milwaukee Bucks,6,2,4,0.333,49.7,34.2,88.2,0.388,5.5,18.2,0.303,14.7,20.8,0.704,12.2,31.5,43.7,20.3,13.2,10.8,6.7,7.0,21.2,18.8,88.5,-12.3,10,10,1,10,1,15,3,16,14,15,14,16,14,12,3,13,12,12,8,1,1,14,8,15,16,15,2014-15
1610612740,New Orleans Pelicans,4,0,4,0.0,49.3,38.0,84.3,0.451,6.8,21.3,0.318,18.0,22.3,0.809,10.8,31.3,42.0,23.3,13.5,7.5,5.8,6.3,23.8,19.8,100.8,-8.0,14,14,1,14,2,5,8,4,13,14,10,7,9,3,9,14,14,4,9,7,6,12,11,13,7,13,2014-15
1610612757,Portland Trail Blazers,5,1,4,0.2,48.0,33.4,83.6,0.4,9.2,26.2,0.351,17.8,21.6,0.824,10.0,34.2,44.2,16.6,11.6,3.4,5.2,6.2,20.6,20.0,93.8,-6.8,12,12,1,12,12,16,12,15,6,5,6,8,11,2,11,7,10,16,2,16,9,11,6,12,15,12,2014-15
1610612759,San Antonio Spurs,7,3,4,0.429,48.7,38.3,85.3,0.449,9.6,26.1,0.366,17.3,25.4,0.68,11.7,34.7,46.4,24.1,12.1,6.1,4.7,6.1,24.9,20.9,103.4,0.4,9,9,1,9,7,3,5,5,3,6,4,9,5,14,4,6,4,2,4,14,11,10,13,8,4,6,2014-15
1610612761,Toronto Raptors,4,0,4,0.0,49.3,36.8,88.3,0.416,7.5,25.0,0.3,15.3,21.3,0.718,8.8,29.8,38.5,19.5,12.0,7.5,2.3,6.5,25.0,20.5,96.3,-14.0,14,14,1,14,2,9,2,14,12,8,15,14,13,11,16,16,16,14,3,7,16,13,14,9,11,16,2014-15
1610612764,Washington Wizards,10,6,4,0.6,48.5,37.3,84.5,0.441,9.4,23.3,0.403,17.1,23.7,0.722,11.6,35.6,47.2,23.1,14.5,7.1,5.3,4.8,20.0,21.9,101.1,3.9,8,6,1,3,10,7,7,7,5,12,1,10,7,10,6,1,2,5,14,11,8,5,5,6,6,3,2014-15
