TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612763,Memphis Grizzlies,4,0,4,0.0,48.0,32.0,81.3,0.394,4.8,16.0,0.297,12.3,17.5,0.7,13.8,27.3,41.0,16.5,15.5,7.8,4.0,9.3,21.5,17.5,81.0,-22.0,15,15,1,15,7,15,11,14,16,16,12,16,16,12,2,15,10,13,15,6,11,16,9,16,16,16,2015-16
1610612748,Miami Heat,14,7,7,0.5,49.1,36.9,80.5,0.458,6.9,19.1,0.358,16.3,21.3,0.765,9.1,35.1,44.2,16.4,13.1,5.4,5.9,3.4,21.2,19.6,96.9,3.1,5,5,13,5,1,7,13,4,11,13,7,13,12,7,12,3,7,14,9,15,4,2,8,15,8,5,2015-16
1610612760,Oklahoma City Thunder,18,11,7,0.611,48.0,38.2,84.5,0.452,8.3,24.9,0.333,21.7,27.6,0.786,12.5,34.4,46.9,20.5,13.9,7.7,5.4,4.0,20.3,21.2,106.4,5.3,4,3,13,3,7,4,7,6,7,7,9,1,2,5,4,6,3,9,10,7,7,4,6,8,2,3,2015-16
1610612757,Portland Trail Blazers,11,5,6,0.455,48.5,37.1,89.1,0.416,11.9,31.3,0.381,18.9,25.5,0.74,12.9,34.7,47.6,21.5,13.1,6.2,3.9,5.9,23.5,21.8,105.0,-2.5,6,7,11,7,5,6,2,12,3,4,5,4,4,8,3,5,1,4,8,12,12,13,14,5,3,9,2015-16
1610612759,San Antonio Spurs,10,6,4,0.6,48.0,38.7,82.5,0.469,8.2,19.1,0.429,16.4,20.5,0.8,7.9,31.6,39.5,21.3,11.6,9.1,7.0,4.7,18.2,19.9,102.0,9.1,7,6,1,4,7,2,8,2,8,14,1,11,14,3,14,10,12,5,4,1,2,8,2,14,5,1,2015-16
1610612761,Toronto Raptors,20,10,10,0.5,48.8,34.3,81.4,0.421,6.9,23.0,0.298,18.1,24.5,0.737,10.8,29.6,40.4,15.7,13.0,7.5,3.7,4.9,21.9,20.5,93.4,-4.3,3,4,16,5,3,12,10,11,12,9,11,6,6,9,6,14,11,15,7,9,13,9,10,11,13,10,2015-16
1610612737,Atlanta Hawks,6,2,4,0.333,48.0,37.5,84.5,0.444,8.3,27.3,0.305,22.2,29.0,0.764,11.3,33.0,44.3,22.3,16.0,6.0,3.3,7.5,21.3,24.8,105.5,-1.2,10,10,2,10,6,8,8,12,13,7,15,1,1,12,5,4,4,5,16,15,13,15,9,1,7,8,2016-17
1610612738,Boston Celtics,18,9,9,0.5,48.3,38.4,84.1,0.457,12.7,34.4,0.369,15.7,20.3,0.773,9.4,28.5,37.9,26.9,13.4,7.7,4.1,5.2,20.8,19.0,105.2,-2.9,1,3,16,5,5,7,9,7,3,2,6,15,14,8,9,15,14,2,10,8,11,12,5,13,8,9,2016-17
1610612741,Chicago Bulls,6,2,4,0.333,48.0,36.3,82.5,0.44,7.0,23.5,0.298,16.8,19.8,0.849,12.5,34.2,46.7,20.0,15.3,7.2,5.2,3.7,18.3,17.2,96.5,-6.8,10,10,2,10,6,11,11,14,16,13,16,12,16,2,2,2,1,9,15,13,4,3,1,16,14,13,2016-17
1610612739,Cleveland Cavaliers,18,13,5,0.722,48.0,40.9,83.1,0.493,14.2,33.9,0.42,20.1,26.2,0.767,9.2,32.9,42.2,22.1,13.1,7.4,4.7,3.8,18.8,22.3,116.2,7.9,1,2,10,2,6,2,10,2,1,4,1,4,3,11,11,6,9,6,7,10,8,4,3,4,2,2,2016-17
1610612744,Golden State Warriors,17,16,1,0.941,48.0,42.9,87.0,0.494,12.7,32.9,0.386,20.7,25.4,0.815,9.3,36.5,45.8,28.2,13.6,8.7,6.1,3.8,21.8,21.6,119.3,13.5,3,1,1,1,6,1,4,1,4,5,4,2,5,3,10,1,2,1,11,1,3,5,12,5,1,1,2016-17
1610612745,Houston Rockets,11,6,5,0.545,48.5,37.3,85.0,0.439,12.8,38.5,0.333,20.4,25.8,0.789,9.9,33.0,42.9,19.5,14.0,7.7,4.6,7.0,20.9,19.5,107.7,1.2,6,6,10,3,3,9,7,15,2,1,10,3,4,7,8,4,8,13,13,7,9,14,7,11,5,3,2016-17
1610612754,Indiana Pacers,4,0,4,0.0,48.0,40.5,87.0,0.466,11.3,28.8,0.391,16.5,21.5,0.767,11.8,30.3,42.0,22.5,13.3,8.0,3.8,6.3,22.8,18.3,108.8,-4.0,15,15,2,15,6,3,4,4,5,6,3,14,12,10,4,12,10,4,8,4,12,13,15,15,3,10,2016-17
1610612746,LA Clippers,7,3,4,0.429,48.0,36.4,77.0,0.473,8.1,23.4,0.348,16.7,24.0,0.696,7.7,30.0,37.7,18.4,12.1,6.3,2.4,3.1,20.3,20.9,97.7,-1.1,9,9,2,7,6,10,16,3,14,15,9,13,8,14,13,13,15,15,3,14,16,1,4,8,12,7,2016-17
1610612763,Memphis Grizzlies,6,2,4,0.333,48.8,34.7,77.2,0.449,9.3,24.2,0.386,17.7,20.3,0.869,7.7,27.8,35.5,18.8,11.3,5.2,2.5,3.8,22.2,19.2,96.3,-8.3,10,10,2,10,1,16,15,9,8,12,5,10,14,1,14,16,16,14,1,16,15,6,13,12,15,14,2016-17
1610612749,Milwaukee Bucks,6,2,4,0.333,48.0,34.8,78.2,0.446,9.0,21.7,0.415,14.5,20.8,0.696,8.2,29.8,38.0,21.2,13.3,8.2,5.0,4.7,21.3,21.2,93.2,-0.7,10,10,2,10,6,15,14,10,9,16,2,16,13,15,12,14,13,8,9,3,5,9,9,7,16,6,2016-17
1610612760,Oklahoma City Thunder,5,1,4,0.2,48.0,38.6,87.4,0.442,8.4,27.0,0.311,18.6,27.0,0.689,12.2,31.4,43.6,19.8,12.8,8.4,8.0,5.0,22.2,22.6,104.2,-8.6,14,14,2,14,6,6,3,13,11,8,14,7,2,16,3,11,6,10,5,2,1,10,14,2,9,15,2016-17
1610612757,Portland Trail Blazers,4,0,4,0.0,48.0,35.5,89.5,0.397,11.0,34.0,0.324,19.5,24.3,0.804,10.0,34.0,44.0,15.8,15.3,7.3,4.8,10.3,21.8,18.8,101.5,-18.0,15,15,2,15,6,13,1,16,6,3,12,6,7,5,7,3,5,16,14,12,6,16,11,14,10,16,2016-17
1610612759,San Antonio Spurs,16,8,8,0.5,48.6,40.0,86.6,0.462,8.6,24.4,0.35,18.5,23.9,0.773,12.8,31.7,44.4,21.3,12.8,7.8,4.7,3.9,18.8,21.3,107.1,1.0,4,4,15,5,2,5,6,5,10,11,8,8,9,9,1,10,3,7,4,6,7,7,2,6,6,4,2016-17
1610612761,Toronto Raptors,10,4,6,0.4,48.0,35.3,79.5,0.444,7.8,23.5,0.332,18.3,22.5,0.813,6.8,32.5,39.3,19.6,12.9,7.4,4.4,5.0,20.9,19.9,96.7,-5.7,8,7,12,8,6,14,12,11,15,13,11,9,11,4,15,7,11,12,6,9,10,10,6,10,13,12,2016-17
1610612762,Utah Jazz,11,4,7,0.364,48.0,35.6,78.4,0.455,9.5,25.9,0.365,17.1,23.4,0.732,6.7,32.4,39.1,19.7,12.1,7.4,3.2,3.3,21.1,20.4,97.8,-4.7,6,7,14,9,6,12,13,8,7,10,7,11,10,13,16,8,12,11,2,11,14,2,8,9,11,11,2016-17
1610612764,Washington Wizards,13,7,6,0.538,48.4,40.1,87.6,0.457,8.4,26.5,0.317,19.5,24.6,0.794,11.2,31.8,43.0,22.8,13.8,7.9,6.6,4.4,23.0,22.5,108.1,0.0,5,5,12,4,4,4,2,6,12,9,13,5,6,6,6,9,7,3,12,5,2,8,16,3,4,5,2016-17
1610612738,Boston Celtics,19,11,8,0.579,48.5,36.4,83.3,0.437,10.5,30.6,0.343,18.1,23.5,0.767,8.8,32.8,41.7,21.2,11.6,6.8,4.1,5.6,20.4,21.4,101.4,0.7,3,3,15,3,2,15,9,12,7,4,11,6,5,9,9,9,9,9,2,12,12,12,7,4,12,5,2017-18
