TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,SEASON
1610612762,Utah Jazz,20,13,7,0.65,48.5,15.9,10.2,10.4,35.5,14.0,12.7,7.2,35.6,2,2,16,2,2,6,12,8,8,3,9,1,8,1997-98
1610612737,Atlanta Hawks,9,3,6,0.333,48.0,13.1,14.3,7.6,29.6,17.0,9.3,13.2,28.2,6,6,13,11,6,12,5,13,12,12,2,13,1,1998-99
1610612765,Detroit Pistons,5,2,3,0.4,48.0,18.6,9.2,11.8,24.8,13.0,12.6,7.2,31.2,9,9,2,6,10,2,14,5,14,2,9,2,5,1998-99
1610612745,Houston Rockets,4,1,3,0.25,48.0,13.0,15.0,13.0,35.0,14.8,12.3,9.8,44.5,12,12,2,12,12,13,3,3,6,5,8,7,16,1998-99
1610612754,Indiana Pacers,13,9,4,0.692,48.4,12.6,13.2,8.0,33.5,16.1,12.2,11.7,37.8,3,3,10,2,3,14,8,12,9,11,7,11,12,1998-99
1610612747,Los Angeles Lakers,8,3,5,0.375,48.0,16.4,14.3,8.9,43.0,15.9,11.5,13.5,38.3,7,6,11,9,7,7,6,11,1,10,6,15,13,1998-99
1610612748,Miami Heat,5,2,3,0.4,48.0,11.0,9.0,3.0,22.0,14.8,13.2,7.6,32.0,9,9,2,6,10,16,15,16,16,7,12,5,6,1998-99
1610612749,Milwaukee Bucks,3,0,3,0.0,49.7,19.0,12.7,11.3,33.3,17.7,20.3,10.7,34.0,15,15,2,15,15,1,10,9,10,14,16,9,8,1998-99
1610612750,Minnesota Timberwolves,4,1,3,0.25,48.0,12.5,15.3,5.5,23.0,15.8,10.5,7.3,35.0,12,12,2,12,12,15,2,15,15,9,3,3,9,1998-99
1610612752,New York Knicks,20,12,8,0.6,48.0,15.4,10.9,11.6,34.2,11.3,10.7,5.5,30.8,1,2,16,3,1,10,12,7,7,1,4,1,4,1998-99
1610612753,Orlando Magic,4,1,3,0.25,48.0,16.0,13.0,11.8,28.0,18.8,18.5,17.8,36.0,12,12,2,12,12,8,9,6,13,15,15,16,10,1998-99
1610612755,Philadelphia 76ers,8,3,5,0.375,48.0,16.6,16.5,13.6,38.3,14.1,12.8,11.8,29.3,7,6,11,9,7,6,1,1,3,3,10,12,2,1998-99
1610612756,Phoenix Suns,3,0,3,0.0,48.0,18.3,8.0,13.3,34.0,15.7,8.0,11.7,42.7,15,15,2,15,16,3,16,2,8,8,1,10,15,1998-99
1610612757,Portland Trail Blazers,13,7,6,0.538,48.0,15.5,11.8,7.0,32.5,14.8,11.2,10.4,32.0,3,4,13,4,4,9,11,14,11,6,5,8,6,1998-99
1610612758,Sacramento Kings,5,2,3,0.4,50.0,17.2,15.0,13.0,41.6,21.6,16.6,13.4,42.0,9,9,2,6,9,5,3,3,2,16,14,14,14,1998-99
1610612759,San Antonio Spurs,17,15,2,0.882,48.0,14.5,10.1,9.4,35.9,14.7,14.0,7.5,30.6,2,1,1,1,2,11,13,10,5,4,13,4,3,1998-99
1610612762,Utah Jazz,11,5,6,0.455,48.9,17.5,13.4,11.4,36.7,17.5,13.1,9.2,36.7,5,5,13,5,5,4,7,8,4,13,11,6,11,1998-99
1610612766,Charlotte Hornets,4,1,3,0.25,49.3,15.5,17.8,11.5,35.5,19.8,13.5,10.5,36.0,12,12,1,12,12,4,1,7,7,16,7,8,11,1999-00
