TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,SEASON
1610612745,Houston Rockets,5,2,3,0.4,48.0,0.753,0.247,0.572,0.189,0.17,0.113,0.258,0.142,0.383,0.479,0.521,0.958,0.042,0.559,0.441,9,9,1,7,7,15,2,14,13,9,10,2,14,12,12,5,3,14,11,6,1997-98
1610612754,Indiana Pacers,16,10,6,0.625,48.3,0.792,0.208,0.579,0.238,0.178,0.089,0.243,0.185,0.341,0.551,0.449,0.828,0.172,0.598,0.402,3,3,11,3,6,10,7,13,6,7,15,3,3,16,10,7,11,6,9,8,1997-98
1610612747,Los Angeles Lakers,13,7,6,0.538,48.0,0.767,0.233,0.591,0.097,0.18,0.139,0.229,0.158,0.494,0.595,0.405,0.846,0.154,0.637,0.363,4,4,11,4,7,11,6,12,16,5,3,6,10,2,6,11,10,7,6,11,1997-98
1610612748,Miami Heat,5,2,3,0.4,48.0,0.713,0.287,0.522,0.165,0.247,0.078,0.231,0.188,0.357,0.474,0.526,0.778,0.222,0.547,0.453,9,9,1,7,7,16,1,16,14,1,16,5,1,13,13,4,13,4,12,5,1997-98
1610612750,Minnesota Timberwolves,5,2,3,0.4,48.0,0.754,0.246,0.572,0.217,0.246,0.118,0.182,0.171,0.355,0.628,0.372,0.946,0.054,0.699,0.301,9,9,1,7,7,13,4,15,10,2,7,13,8,14,4,13,4,13,1,16,1997-98
1610612751,New Jersey Nets,3,0,3,0.0,49.7,0.907,0.093,0.73,0.232,0.074,0.102,0.196,0.144,0.498,0.413,0.587,1.0,0.0,0.45,0.55,16,16,1,16,1,1,16,1,7,15,12,11,13,1,16,1,1,15,16,1,1997-98
1610612752,New York Knicks,10,4,6,0.4,48.5,0.816,0.184,0.607,0.221,0.179,0.146,0.213,0.184,0.386,0.558,0.442,0.717,0.283,0.584,0.416,5,5,11,7,3,8,9,9,8,6,1,9,4,11,9,8,15,2,10,7,1997-98
1610612756,Phoenix Suns,4,1,3,0.25,48.0,0.85,0.15,0.704,0.285,0.137,0.121,0.159,0.153,0.419,0.489,0.511,0.882,0.118,0.534,0.466,12,12,1,12,7,4,13,3,2,10,5,15,12,5,11,6,8,9,13,4,1997-98
1610612757,Portland Trail Blazers,4,1,3,0.25,48.0,0.808,0.192,0.607,0.216,0.173,0.115,0.221,0.135,0.391,0.645,0.355,0.783,0.217,0.667,0.333,12,12,1,12,7,9,8,10,11,8,9,8,15,10,3,14,12,5,4,13,1997-98
1610612759,San Antonio Spurs,9,4,5,0.444,48.6,0.821,0.179,0.642,0.218,0.127,0.1,0.231,0.125,0.424,0.464,0.536,0.943,0.057,0.52,0.48,7,5,9,5,2,7,10,6,9,13,13,4,16,4,15,2,5,12,14,3,1997-98
1610612760,Seattle SuperSonics,10,4,6,0.4,48.0,0.755,0.245,0.609,0.151,0.208,0.141,0.183,0.183,0.458,0.562,0.438,0.864,0.136,0.618,0.382,5,5,11,7,7,12,5,8,15,4,2,12,5,3,7,10,9,8,7,10,1997-98
1610612762,Utah Jazz,20,13,7,0.65,48.5,0.873,0.127,0.676,0.277,0.111,0.117,0.213,0.178,0.399,0.657,0.343,0.773,0.227,0.669,0.331,2,2,16,2,3,3,14,4,3,14,8,10,6,8,2,15,14,3,3,14,1997-98
1610612737,Atlanta Hawks,9,3,6,0.333,48.0,0.794,0.206,0.597,0.226,0.18,0.095,0.223,0.165,0.371,0.439,0.561,0.721,0.279,0.486,0.514,6,6,13,11,5,10,7,10,9,7,11,9,11,8,16,1,14,3,15,2,1998-99
1610612765,Detroit Pistons,5,2,3,0.4,48.0,0.875,0.125,0.727,0.414,0.129,0.149,0.144,0.235,0.313,0.521,0.479,0.824,0.176,0.553,0.447,9,9,2,6,5,2,15,2,2,12,2,16,1,14,10,7,9,8,13,4,1998-99
1610612745,Houston Rockets,4,1,3,0.25,48.0,0.738,0.262,0.536,0.175,0.24,0.134,0.224,0.134,0.361,0.519,0.481,0.903,0.097,0.607,0.393,12,12,2,12,5,13,4,15,14,1,7,8,16,10,11,6,7,10,7,10,1998-99
1610612754,Indiana Pacers,13,9,4,0.692,48.4,0.758,0.242,0.56,0.202,0.21,0.085,0.23,0.135,0.358,0.557,0.443,0.929,0.071,0.631,0.369,3,3,10,2,4,12,5,13,12,5,13,7,15,11,7,10,3,14,5,12,1998-99
1610612747,Los Angeles Lakers,8,3,5,0.375,48.0,0.804,0.196,0.649,0.191,0.152,0.094,0.199,0.174,0.457,0.512,0.488,0.816,0.184,0.553,0.447,7,6,11,9,5,9,8,6,13,8,12,12,10,2,14,3,10,7,12,5,1998-99
1610612748,Miami Heat,5,2,3,0.4,48.0,0.726,0.274,0.547,0.268,0.213,0.038,0.241,0.139,0.278,0.519,0.481,0.929,0.071,0.603,0.397,9,9,2,6,5,14,3,14,5,4,16,4,14,16,13,4,4,13,8,9,1998-99
1610612749,Milwaukee Bucks,3,0,3,0.0,49.7,0.813,0.187,0.615,0.266,0.147,0.119,0.238,0.199,0.35,0.545,0.455,0.857,0.143,0.588,0.412,15,15,2,15,2,8,9,8,6,9,9,6,2,12,8,9,8,9,9,8,1998-99
1610612750,Minnesota Timberwolves,4,1,3,0.25,48.0,0.901,0.099,0.733,0.447,0.093,0.068,0.174,0.155,0.286,0.576,0.424,0.7,0.3,0.586,0.414,12,12,2,12,5,1,16,1,1,15,15,14,13,15,5,12,15,1,10,7,1998-99
1610612752,New York Knicks,20,12,8,0.6,48.0,0.846,0.154,0.674,0.272,0.113,0.136,0.213,0.181,0.402,0.44,0.56,0.734,0.266,0.469,0.531,1,2,16,3,5,5,12,4,4,13,6,11,8,6,15,2,13,4,16,1,1998-99
1610612753,Orlando Magic,4,1,3,0.25,48.0,0.705,0.295,0.487,0.162,0.235,0.136,0.278,0.186,0.325,0.643,0.357,0.926,0.074,0.712,0.288,12,12,2,12,5,16,1,16,15,2,5,1,7,13,2,15,5,12,1,16,1998-99
1610612755,Philadelphia 76ers,8,3,5,0.375,48.0,0.872,0.128,0.72,0.291,0.084,0.153,0.196,0.186,0.429,0.537,0.463,0.7,0.3,0.549,0.451,7,6,11,9,5,3,14,3,3,16,1,13,6,3,9,8,15,1,14,3,1998-99
1610612756,Phoenix Suns,3,0,3,0.0,48.0,0.769,0.231,0.599,0.231,0.227,0.144,0.173,0.199,0.368,0.578,0.422,0.905,0.095,0.644,0.356,15,15,2,15,5,11,6,9,8,3,3,15,3,9,4,13,6,11,4,13,1998-99
1610612757,Portland Trail Blazers,13,7,6,0.538,48.0,0.84,0.16,0.595,0.218,0.131,0.081,0.274,0.18,0.377,0.574,0.426,0.939,0.061,0.62,0.38,3,4,13,4,5,6,11,11,10,11,14,2,9,7,6,11,2,15,6,11,1998-99
