TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON
1610612762,Utah Jazz,20,13,7,0.65,970.0,0.477,0.347,0.165,0.297,0.441,0.397,0.15,0.324,2,2,16,2,2,10,9,12,10,1,9,13,11,1997-98
1610612737,Atlanta Hawks,9,3,6,0.333,432.0,0.415,0.31,0.171,0.342,0.461,0.251,0.158,0.297,6,6,13,11,6,15,12,10,4,9,1,12,7,1998-99
1610612765,Detroit Pistons,5,2,3,0.4,240.0,0.452,0.192,0.147,0.306,0.484,0.276,0.181,0.338,9,9,2,6,10,7,16,2,10,13,2,3,12,1998-99
1610612745,Houston Rockets,4,1,3,0.25,192.0,0.463,0.351,0.142,0.342,0.508,0.342,0.141,0.285,12,12,2,12,12,6,9,1,5,14,7,16,2,1998-99
1610612754,Indiana Pacers,13,9,4,0.692,629.0,0.485,0.38,0.178,0.336,0.453,0.347,0.147,0.321,3,3,10,2,3,1,6,14,6,6,8,15,11,1998-99
1610612747,Los Angeles Lakers,8,3,5,0.375,384.0,0.473,0.367,0.152,0.306,0.481,0.417,0.163,0.314,7,6,11,9,7,5,8,5,11,12,14,8,9,1998-99
1610612748,Miami Heat,5,2,3,0.4,240.0,0.441,0.397,0.153,0.279,0.471,0.295,0.153,0.286,9,9,2,6,10,12,4,6,14,11,4,13,3,1998-99
1610612749,Milwaukee Bucks,3,0,3,0.0,149.0,0.484,0.391,0.176,0.308,0.508,0.377,0.179,0.379,15,15,2,15,15,2,5,13,9,15,11,4,15,1998-99
1610612750,Minnesota Timberwolves,4,1,3,0.25,192.0,0.412,0.226,0.167,0.348,0.459,0.375,0.149,0.282,12,12,2,12,12,16,15,9,3,7,10,14,1,1998-99
1610612752,New York Knicks,20,12,8,0.6,960.0,0.451,0.322,0.154,0.291,0.437,0.39,0.171,0.293,1,2,16,3,1,10,11,7,12,3,12,7,5,1998-99
