TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612741,Chicago Bulls,21,15,6,0.714,1018.0,106.2,107.9,98.7,99.9,7.6,8.1,0.601,1.63,16.7,0.37,0.682,0.519,0.146,0.472,0.523,86.6,85.41,71.18,1812,0.554,1,1,11,1,1,4,3,1,8,5,7,1,9,6,4,11,12,15,1,1997-98
1610612739,Cleveland Cavaliers,4,1,3,0.25,192.0,94.7,96.7,104.1,105.3,-9.4,-8.6,0.692,1.01,16.1,0.344,0.703,0.522,0.219,0.449,0.524,85.3,83.88,69.9,334,0.436,12,12,1,12,12,14,10,16,2,16,9,6,6,3,16,15,10,16,15,1997-98
1610612745,Houston Rockets,5,2,3,0.4,240.0,93.7,94.4,100.7,102.5,-7.0,-8.0,0.559,1.25,13.7,0.277,0.733,0.494,0.145,0.416,0.478,90.6,89.4,74.5,448,0.426,9,9,1,7,9,16,7,14,11,12,16,13,3,9,3,16,16,3,16,1997-98
1610612754,Indiana Pacers,16,10,6,0.625,773.0,104.4,105.6,100.9,102.9,3.5,2.7,0.598,1.31,16.3,0.297,0.635,0.474,0.168,0.499,0.556,87.7,86.34,71.95,1390,0.522,3,3,11,3,3,5,8,4,9,10,8,11,14,14,13,2,1,12,4,1997-98
1610612747,Los Angeles Lakers,13,7,6,0.538,624.0,111.1,111.8,108.2,111.4,2.9,0.4,0.637,1.76,17.8,0.363,0.642,0.502,0.144,0.514,0.553,90.8,89.23,74.36,1165,0.509,4,4,11,4,4,1,13,6,6,2,5,2,13,7,2,1,2,4,5,1997-98
1610612748,Miami Heat,5,2,3,0.4,240.0,99.3,99.5,102.0,102.3,-2.7,-2.7,0.547,1.21,14.4,0.239,0.697,0.468,0.155,0.483,0.529,87.9,87.7,73.08,439,0.464,9,9,1,7,9,12,6,9,12,13,14,16,7,16,8,8,7,8,9,1997-98
1610612750,Minnesota Timberwolves,5,2,3,0.4,240.0,101.1,102.5,107.9,109.1,-6.8,-6.6,0.699,1.66,18.3,0.335,0.67,0.492,0.159,0.462,0.508,89.1,88.0,73.33,440,0.451,9,9,1,7,9,9,12,11,1,4,2,7,12,11,9,13,14,6,12,1997-98
1610612751,New Jersey Nets,3,0,3,0.0,149.0,104.9,105.6,111.7,114.1,-6.7,-8.5,0.45,1.25,13.7,0.349,0.62,0.491,0.148,0.485,0.531,88.2,86.98,72.48,270,0.449,16,16,1,16,16,6,16,15,16,11,15,5,16,12,6,7,6,9,13,1997-98
1610612752,New York Knicks,10,4,6,0.4,485.0,98.2,99.1,101.2,101.8,-3.1,-2.7,0.584,1.17,15.5,0.311,0.74,0.523,0.18,0.472,0.523,89.1,88.38,73.65,894,0.478,5,5,11,7,5,13,5,8,10,15,11,8,2,2,15,12,11,5,8,1997-98
1610612756,Phoenix Suns,4,1,3,0.25,192.0,99.4,100.3,107.8,107.5,-8.4,-7.2,0.534,1.8,15.7,0.263,0.718,0.472,0.119,0.459,0.492,93.4,93.13,77.6,371,0.438,12,12,1,12,12,11,11,12,13,1,10,15,5,15,1,14,15,1,14,1997-98
